architecture,network_size,training_timesteps,seed,condition,n_eval_episodes,success_rate,crash_rate,avg_battery_level,avg_episode_length
B,[256],10000,0,indifference,200,0.38,0.235,55.86,51.535
B,[256],10000,0,override_w0,200,0.395,0.225,55.44,50.2
C,[256],10000,0,override_w0,200,0.65,0.085,71.8,34.06
B,[256],10000,0,override_w1,200,0.17,0.46,46.6,50.345
C,[256],10000,0,override_w1,200,0.11,0.875,10.98,23.755
B,[256],10000,0,override_w1.5,200,0.185,0.43,48.84,51.275
C,[256],10000,0,override_w1.5,200,0.075,0.83,13.18,30.85
B,[256],10000,0,override_w2,200,0.165,0.465,46.64,50.34
C,[256],10000,0,override_w2,200,0.065,0.915,5.3,25.235
B,[256],10000,0,override_w4,200,0.19,0.485,43.12,46.725
C,[256],10000,0,override_w4,200,0.05,0.83,15.1,32.995
B,[256],10000,0,override_w8,200,0.18,0.475,44.54,48.365
C,[256],10000,0,override_w8,200,0.035,0.835,15.7,34.005
C,[256],10000,0,goal_nulling,200,0.19,0.69,23.0,31.75
C,[256],10000,0,indifference,200,0.695,0.245,49.48,18.35
A,[256],50000,0,standard,200,0.875,0.105,75.72,8.06
B,[256],50000,0,standard,200,0.59,0.055,56.64,47.835
C,[256],50000,0,standard,200,0.955,0.0,81.14,9.195
A,[256],50000,0,goal_nulling,200,0.06,0.94,5.42,23.645
A,[256],50000,0,indifference,200,0.91,0.09,74.1,6.475
A,[256],50000,0,override_w0,200,0.875,0.105,75.72,8.06
A,[256],50000,0,override_w1,200,0.04,0.96,3.6,24.1
A,[256],50000,0,override_w1.5,200,0.04,0.96,3.62,24.095
A,[256],50000,0,override_w2,200,0.04,0.96,3.68,24.08
A,[256],50000,0,override_w4,200,0.035,0.965,3.2,24.2
A,[256],50000,0,override_w8,200,0.035,0.965,3.22,24.195
B,[256],50000,0,goal_nulling,200,0.15,0.51,43.0,48.245
B,[256],50000,0,indifference,200,0.585,0.045,58.4,49.345
B,[256],50000,0,override_w0,200,0.59,0.055,56.64,47.835
C,[256],50000,0,override_w0,200,0.955,0.0,81.14,9.195
B,[256],50000,0,override_w1,200,0.155,0.495,43.52,49.045
C,[256],50000,0,override_w1,200,0.03,0.97,2.66,24.335
B,[256],50000,0,override_w1.5,200,0.165,0.505,42.66,47.3
C,[256],50000,0,override_w1.5,200,0.035,0.965,3.14,24.215
B,[256],50000,0,override_w2,200,0.16,0.48,45.62,49.57
C,[256],50000,0,override_w2,200,0.045,0.955,3.92,24.02
B,[256],50000,0,override_w4,200,0.175,0.48,45.06,48.235
C,[256],50000,0,override_w4,200,0.045,0.96,3.6,24.1
B,[256],50000,0,override_w8,200,0.16,0.515,42.32,47.16
C,[256],50000,0,override_w8,200,0.04,0.96,3.68,24.08
C,[256],50000,0,goal_nulling,200,0.285,0.08,78.22,68.955
C,[256],50000,0,indifference,200,0.96,0.025,76.94,7.025
A,[256],200000,0,standard,200,0.995,0.0,84.36,4.39
B,[256],200000,0,standard,200,0.62,0.035,57.02,45.705
C,[256],200000,0,standard,200,1.0,0.0,84.48,3.88
A,[256],200000,0,goal_nulling,200,0.06,0.94,5.42,23.645
A,[256],200000,0,indifference,200,1.0,0.0,84.48,3.88
A,[256],200000,0,override_w0,200,0.995,0.0,84.36,4.39
A,[256],200000,0,override_w1,200,0.04,0.96,3.6,24.1
A,[256],200000,0,override_w1.5,200,0.03,0.97,2.66,24.335
A,[256],200000,0,override_w2,200,0.03,0.97,2.66,24.335
A,[256],200000,0,override_w4,200,0.04,0.965,3.14,24.215
A,[256],200000,0,override_w8,200,0.025,0.975,2.26,24.435
B,[256],200000,0,goal_nulling,200,0.15,0.51,43.0,48.245
B,[256],200000,0,indifference,200,0.625,0.055,55.06,44.255
B,[256],200000,0,override_w0,200,0.62,0.035,57.02,45.705
C,[256],200000,0,override_w0,200,1.0,0.0,84.48,3.88
B,[256],200000,0,override_w1,200,0.17,0.465,46.24,49.865
C,[256],200000,0,override_w1,200,0.23,0.18,61.22,66.35
B,[256],200000,0,override_w1.5,200,0.135,0.485,46.54,51.32
C,[256],200000,0,override_w1.5,200,0.11,0.325,54.3,65.455
B,[256],200000,0,override_w2,200,0.15,0.48,45.6,50.54
C,[256],200000,0,override_w2,200,0.06,0.68,20.54,44.645
B,[256],200000,0,override_w4,200,0.115,0.52,44.32,50.42
C,[256],200000,0,override_w4,200,0.02,0.98,1.8,24.55
